,ADANIPORTS.NS,TECHM.NS,BRITANNIA.NS,TCS.NS,SUNPHARMA.NS,INFY.NS,HINDALCO.NS,DRREDDY.NS,HCLTECH.NS,HINDUNILVR.NS,TATASTEEL.NS,NTPC.NS,CIPLA.NS,ITC.NS,BPCL.NS,WIPRO.NS,JSWSTEEL.NS,GAIL.NS,DIVISLAB.NS,ULTRACEMCO.NS,NESTLEIND.NS,ASIANPAINT.NS,EICHERMOT.NS,IOC.NS,GRASIM.NS,BAJAJ-AUTO.NS,HDFC.NS,M&M.NS,UPL.NS,SHREECEM.NS,MARUTI.NS,TITAN.NS,BAJAJFINSV.NS,KOTAKBANK.NS,COALINDIA.NS,BHARTIARTL.NS,HEROMOTOCO.NS,LT.NS,ONGC.NS,SBIN.NS,RELIANCE.NS,BAJFINANCE.NS,AXISBANK.NS,HDFCBANK.NS,TATAMOTORS.NS,ICICIBANK.NS,POWERGRID.NS,INDUSINDBK.NS
TATASTEEL.NS,6013.978911522239,3403.3540010231227,22046.91952743778,4017.667363561941,-4986.550371967348,-1626.6779032412533,5567.8652358855825,-39788.34210640034,1281.5922157819182,4337.912883970006,15155.464021919837,1352.9663302811705,2466.8401558443634,2866.789363935958,3911.9858382630346,1113.603527393822,6557.763897861759,3238.554946885409,-15362.46410164347,33941.44418373964,-51940.18457879423,664.1922623556324,46361.6982454927,3317.1309850799707,21860.005681444916,18913.740560242924,17788.60409763839,9100.643688172871,5112.434866656836,84961.92363757666,166300.24890730597,10273.502544497893,92401.35957079097,8705.840978172717,1283.80995580451,416.92716510098006,38000.1985417874,16922.977218749667,2228.5093121921523,3688.7730614500306,4949.471365252692,23290.169557742975,4154.2333048541595,11070.520194932882,2401.819099470341,2022.0814701895501,1788.4361595765208,38187.282898776786
NTPC.NS,299.068018438609,-841.6959472462808,-6011.149360117575,-4484.217378960611,339.2996577751852,-1980.0992028115415,467.21149776490904,-10325.086835612488,-1199.175362868827,-4939.584712275904,1352.9663302811705,320.11928640833156,-307.3885082637929,566.1522099717458,529.462332708349,-296.5538403799356,215.88791561108502,426.4414772523871,-9771.85450180689,1196.378691142183,-48663.32277588386,-4019.531451629402,5413.993269942387,643.4844043217737,2381.4364070667643,1064.7305432163105,-761.1846352630939,1204.3435829784355,544.0216554256754,-15224.180891080909,11529.269109071201,-2036.382430793714,-5213.9861474775735,-1993.4111933762738,856.2443797052815,-711.0930059739737,5730.554885419118,1755.7549420124521,626.1442926923436,534.1694826028872,-5024.218422492052,-8275.017151257232,474.6202376269977,-970.78905290454,1639.2587675141551,-495.4682785547752,223.70537854925263,6234.370291888193
CIPLA.NS,1110.2336974231753,1999.5397247773717,21823.153599088277,11715.97262723815,1225.9183958385117,5970.579431676032,860.1241208894852,33431.351592272746,5273.9971266376615,7366.416120027598,2466.8401558443634,-307.3885082637929,6613.395466717936,-708.7168319604933,-288.0230966263478,1472.0658920001097,2042.2544962217917,-120.57251797542618,27428.391448429204,10224.77448445125,75953.91788420615,9520.711035038628,10249.733105716026,-478.4376584990241,2736.113564650912,5654.248090368092,738.6432243477607,2623.9645133866366,-1110.0128526864262,58003.5187518061,30580.019288016978,3823.750544744573,-2223.1558293886073,2430.4298541748076,-1352.6248788215305,2099.448011760846,11427.42346920461,-3927.072873425661,-623.474757700769,-1070.913500560488,17076.527927688534,9104.552445207952,-3086.8952672794026,2916.2478536087046,-663.2405879689035,-206.52238507014317,-38.776240106022165,-8361.056957270072
ITC.NS,969.1633108221135,-488.0213371075266,-5259.510708673919,-4650.872954711993,-302.55907528392993,-2836.4702134251725,1083.0560366897878,-21309.731278061314,-1824.5898172203247,-5895.547336594196,2866.789363935958,566.1522099717458,-708.7168319604933,1518.338033839795,735.2257245122848,-271.14956582977663,957.1852907765318,1049.242994233368,-17599.543883331873,4823.522407210817,-75377.58150813355,-5926.453436743419,10205.791122909637,1251.5085356163768,4700.085253217662,2023.5676451707568,1437.7361547455835,2912.2556239864516,1772.2110991134957,-19092.764526099425,29496.118051322836,-1614.2127300724771,7120.43815013253,-1386.6709626215638,1375.1748618131926,-1754.4451553306603,9926.220812772395,5376.868664487533,1127.189358798857,1311.627637126258,-6728.548292078139,-7751.558604052508,1931.6370628313005,177.23476239334403,1983.079413455584,-387.3310353742656,501.69561465051225,14283.427235888543
BPCL.NS,2223.32524084258,-1488.454368377911,445.60895521033314,-5452.127350983177,-2292.9106755569933,-3035.8703123564133,1854.2702926613126,-11472.032107874502,-319.26602562835126,-920.7560222717187,3911.9858382630346,529.462332708349,-288.0230966263478,735.2257245122848,4629.948072591237,-306.05003275537393,647.9400092064773,603.977648462302,-9869.108700241743,15690.637800415283,-13658.332611265978,1408.3696576640777,18262.3485700169,1778.4324566159567,6845.771260804505,12304.297127147305,6006.084971138212,411.16798680931726,3224.5596002296434,82489.6401083284,53381.64404500382,1661.5671318486175,40714.33644488649,2708.8198838552403,225.77255340012783,1611.5360723353904,15412.558397215047,4535.861163771666,879.6881979685953,1730.7811332838207,297.66656128441286,10682.439806395423,1279.6987124038724,3162.430583453955,3059.4877150449634,1352.1972386651955,923.7569610020713,10125.631238235621
WIPRO.NS,1387.8208016131732,4984.143843410624,22705.0475918677,17063.749046905803,-2615.994637136543,6273.200113812366,614.7899496284322,15518.151778300626,4327.3885210111775,14250.43687950264,1113.603527393822,-296.5538403799356,1472.0658920001097,-271.14956582977663,-306.05003275537393,1876.8997722541699,1744.3876353670262,13.013666709579256,22881.248940831563,11722.522856578971,107677.44824983313,11717.171509595792,-2344.7835868239176,-646.9881480288572,736.7597700518835,4779.485794853933,10080.464786214123,9.543484518997095,1479.2073632793963,76277.96956446524,16678.839427743238,10988.781125836622,58197.607905324396,9927.66565765294,-1665.3150953332247,1150.4122641492165,-4409.711981499068,3167.940359184023,-790.6930290464636,344.23519921273106,16294.065055545676,37989.31785785158,2223.0899271963644,7703.439276315974,-3851.7040359342914,2683.6870357029957,71.46237070110539,-2146.998812100131
JSWSTEEL.NS,3488.063983353115,7151.363544669929,37453.37283014481,20784.80146555881,-4945.415408569266,5389.237597284224,2791.438357045936,-5455.064340079681,4352.665014524039,19258.856838559932,6557.763897861759,215.88791561108502,2042.2544962217917,957.1852907765318,647.9400092064773,1744.3876353670262,4997.870431387494,1430.1528222144016,15769.423386240567,21792.60294855511,109656.93743659419,12257.983740063306,14945.123231230407,478.1424366675238,8429.915717541564,9237.877691518377,17941.150161552338,4546.454618795482,2837.3360727020336,99035.05304642726,89381.94759972997,15538.479880646653,102271.65235793863,14584.901345479442,-1120.3336710443293,880.6120795967275,7171.33760846643,10591.238535081357,40.652833889641485,1669.18849209739,18520.493439179514,49490.77673018121,3786.6960504794433,12512.480813341743,-4040.6644845213436,3406.99739369095,751.5648353321106,15092.379793371923
GAIL.NS,1224.9576987150085,688.8999896384616,2713.122661102566,-606.0577882226438,-1063.0908794935026,-1390.679576433163,1212.2266494829626,-16894.797396530303,-742.548533914547,-896.4435952093722,3238.554946885409,426.4414772523871,-120.57251797542618,1049.242994233368,603.977648462302,13.013666709579256,1430.1528222144016,1037.5962504641875,-10087.679925438237,5533.762312350611,-35782.139336925924,-2827.3658282786478,9348.851162592,945.5187985647082,4765.862103178571,2856.9467003596833,3297.289162134814,2619.735587123285,1346.5448462393488,-4494.939814663086,37076.54964198137,1382.9512628295881,18484.775368276703,890.2761569900459,793.2503401247337,-859.0194349898712,7476.640588925258,5160.392048362371,819.4203840205538,1087.269557956507,-1968.4962462858684,582.7329030225702,1566.0469674436536,1857.050573141805,573.2643059925726,109.52882352212396,413.98274209529296,12101.449955131982
DIVISLAB.NS,9337.175684625923,70260.00778061808,405847.5827432373,281023.2503970986,-36553.76900655449,107889.48643229196,-1631.0422832353463,432056.1168412385,73210.77157985496,279520.7171855771,-15362.46410164347,-9771.85450180689,27428.391448429204,-17599.543883331873,-9869.108700241743,22881.248940831563,15769.423386240567,-10087.679925438237,509913.5629218007,116224.36668641232,2486997.163427114,232951.2969767355,-135438.67672962198,-21454.80301837471,-44226.853903502815,41814.67454901739,127550.08411720608,-28148.007671276584,1981.981983556496,1409049.6363627948,-19460.907921893588,166911.14649332248,771072.8765013746,157345.8927286122,-37972.256667493195,37015.07401163646,-173304.672996084,-9998.352484433668,-22509.88548457898,-8465.640364037678,297005.9263136419,609214.6074696386,8979.221954517627,105297.79675456551,-73963.41905279072,41090.58748047277,-3185.4988757790716,-177194.08221397482
ULTRACEMCO.NS,24828.04229660191,32453.43695499584,188558.94777120015,117716.77527007317,-32670.291306172086,32543.67493306714,16003.916931219122,26714.460036058743,29325.713074773143,111445.97881002465,33941.44418373964,1196.378691142183,10224.77448445125,4823.522407210817,15690.637800415283,11722.522856578971,21792.60294855511,5533.762312350611,116224.36668641232,218013.9980956512,774747.4309632697,97576.79164152086,81538.66454728214,5038.178800724657,49850.87822097942,90543.26041881165,124204.8753170694,11109.767636637416,29346.133601932517,1167217.7297694238,457040.0516944727,99308.7623481941,716368.2883756441,100602.81423903734,-9765.382307236152,14496.323946251145,47473.006123227635,63931.23399406002,-291.18363915517176,14574.297197550144,116912.45199801476,358926.4312376355,29520.956023537172,81777.80113851937,-15265.649883759592,28027.186946511345,6113.6266713780815,60892.40108819738
